,speaker,text,token
313,MR. LAURENCE,"Oh, she must come and play for me sometime.","['oh', 'she', 'must', 'come', 'and', 'play', 'for', 'me', 'sometime']"
314,AMY,No.,['no']
315,MR. LAURENCE,"Oh, it wasnt that I wanted to hear her, but that piano down 
there is simply going to ruin for want of use.","['oh', 'it', 'wasnt', 'that', 'i', 'wanted', 'to', 'hear', 'her', 'but', 'that', 'piano', 'down', 'there', 'is', 'simply', 'going', 'to', 'ruin', 'for', 'want', 'of', 'use']"
316,BETH,"Oh, sir.","['oh', 'sir']"
317,MR. LAURENCE,So.,['so']
318,BETH,Im Beth.,"['im', 'beth']"
319,MR. LAURENCE,"Not a soul, my child.","['not', 'a', 'soul', 'my', 'child']"
320,AMY,"Beth, isnt he elegant?","['beth', 'isnt', 'he', 'elegant']"
321,LAURIE,"This is the German, and Ill be hanged if I let you refuse me all 
of them.","['this', 'is', 'the', 'german', 'and', 'ill', 'be', 'hanged', 'if', 'i', 'let', 'you', 'refuse', 'me', 'all', 'of', 'them']"
322,JO,"Oh, no.","['oh', 'no']"
323,LAURIE,Dont you like to dance?,"['dont', 'you', 'like', 'to', 'dance']"
324,JO,"Oh, yes.","['oh', 'yes']"
325,LAURIE,Why?,['why']
326,JO,"Oh, well, I may as well tell you.","['oh', 'well', 'i', 'may', 'as', 'well', 'tell', 'you']"
327,LAURIE,Silence to the death.,"['silence', 'to', 'the', 'death']"
328,JO,"Well, you see, I have a bad trick of standing in front of the 
fire and I scorch my frocks, and I burned this one.","['well', 'you', 'see', 'i', 'have', 'a', 'bad', 'trick', 'of', 'standing', 'in', 'front', 'of', 'the', 'fire', 'and', 'i', 'scorch', 'my', 'frocks', 'and', 'i', 'burned', 'this', 'one']"
329,LAURIE,Where?,['where']
330,JO,"Oh, you can laugh if you want to.","['oh', 'you', 'can', 'laugh', 'if', 'you', 'want', 'to']"
331,LAURIE,Look!,['look']
332,JO,Youre a Champ.,"['youre', 'a', 'champ']"
333,LAURIE,This is regularly splendid.,"['this', 'is', 'regularly', 'splendid']"
334,JO,"Oh, hello.","['oh', 'hello']"
335,LAURIE,What are you two doing up there?,"['what', 'are', 'you', 'two', 'doing', 'up', 'there']"
336,AMY,No.,['no']
337,LAURIE,"Well, have you had refreshments?","['well', 'have', 'you', 'had', 'refreshments']"
338,BETH,"No, thank you.","['no', 'thank', 'you']"
339,LAURIE,Well bring some right up.,"['well', 'bring', 'some', 'right', 'up']"
340,MEG,"And then when Laurie goes to college, what becomes of you?","['and', 'then', 'when', 'laurie', 'goes', 'to', 'college', 'what', 'becomes', 'of', 'you']"
341,MEG,Oh.,['oh']
342,MEG,Laurie and his grandfather would care a great deal.,"['laurie', 'and', 'his', 'grandfather', 'would', 'care', 'a', 'great', 'deal']"
343,JO,Here we go!,"['here', 'we', 'go']"
344,LAURIE,"Oh, Jo.","['oh', 'jo']"
345,AMY,Now youve done it!,"['now', 'youve', 'done', 'it']"
346,JO,Megs gloves!,"['megs', 'gloves']"
347,LAURIE,What _cIts a shame.,"['what', 'cits', 'a', 'shame']"
348,JO,What a blunder bus I am!,"['what', 'a', 'blunder', 'bus', 'i', 'am']"
349,AMY,What are you going to do?,"['what', 'are', 'you', 'going', 'to', 'do']"
350,MEG,Ill ask Marmee.,"['ill', 'ask', 'marmee']"
351,LAURIE,Oh?,['oh']
352,MEG,Oh?,['oh']
353,LAURIE,"Well, time slips away, you know?","['well', 'time', 'slips', 'away', 'you', 'know']"
354,MEG,"Good night, Mr. Brooke.","['good', 'night', 'mr', 'brooke']"
355,BETH,Good night.,"['good', 'night']"
356,LAURIE,"Good night, Beth.","['good', 'night', 'beth']"
357,AMY,We had an elegant time.,"['we', 'had', 'an', 'elegant', 'time']"
358,LAURIE,"Good night, Amy.","['good', 'night', 'amy']"
359,MEG,"Good night, Laurie.","['good', 'night', 'laurie']"
360,LAURIE,"Good night, Miss Margaret.","['good', 'night', 'miss', 'margaret']"
361,MEG,"Laurie _c..

LAURIE
Good night, everybody.","['laurie', 'c', 'laurie', 'good', 'night', 'everybody']"
362,LAURIE,"Good night, everybody.","['good', 'night', 'everybody']"
363,LAURIE,I wont.,"['i', 'wont']"
364,JO,There.,['there']
365,BETH,Its a pair of slippers I worked for Mr. Laurence.,"['its', 'a', 'pair', 'of', 'slippers', 'i', 'worked', 'for', 'mr', 'laurence']"
366,JO,"They are beautiful, and I think you are sweet.","['they', 'are', 'beautiful', 'and', 'i', 'think', 'you', 'are', 'sweet']"
367,BETH,Yes.,['yes']
368,JO,You think!,"['you', 'think']"
369,LAURIE,Now Ill find out why you come down to this hole every day.,"['now', 'ill', 'find', 'out', 'why', 'you', 'come', 'down', 'to', 'this', 'hole', 'every', 'day']"
370,JO,Laurie Laurence.,"['laurie', 'laurence']"
371,LAURIE,Alright.,['alright']
372,JO,"Well, this is all together different.","['well', 'this', 'is', 'all', 'together', 'different']"
373,LAURIE,Ye_c Oh!,"['ye', 'c', 'oh']"
374,JO,I beg your pardon.,"['i', 'beg', 'your', 'pardon']"
375,LAURIE,Sorry.,['sorry']
376,LAURIE,Of course its different.,"['of', 'course', 'its', 'different']"
377,JO,"Oh, bilge.","['oh', 'bilge']"
378,LAURIE,Youll be sorry.,"['youll', 'be', 'sorry']"
379,JO,"Oh, what?","['oh', 'what']"
380,LAURIE,"If I tell you, you must tell me yours.","['if', 'i', 'tell', 'you', 'you', 'must', 'tell', 'me', 'yours']"
381,JO,"You wont tell anything at home, will you?","['you', 'wont', 'tell', 'anything', 'at', 'home', 'will', 'you']"
382,LAURIE,Not a word.,"['not', 'a', 'word']"
383,JO,And you wont tease me about it in private?,"['and', 'you', 'wont', 'tease', 'me', 'about', 'it', 'in', 'private']"
384,LAURIE,Ill never tease.,"['ill', 'never', 'tease']"
385,JO,I sold my story to the Spread Eagle.,"['i', 'sold', 'my', 'story', 'to', 'the', 'spread', 'eagle']"
386,LAURIE,Hurrah for Miss March!,"['hurrah', 'for', 'miss', 'march']"
387,JO,I didnt want anyone to know until its out.,"['i', 'didnt', 'want', 'anyone', 'to', 'know', 'until', 'its', 'out']"
388,LAURIE,Wouldnt it be fun to see it in print?,"['wouldnt', 'it', 'be', 'fun', 'to', 'see', 'it', 'in', 'print']"
389,JO,"Now, whats yours?","['now', 'whats', 'yours']"
390,LAURIE,I know where Megs glove is.,"['i', 'know', 'where', 'megs', 'glove', 'is']"
391,JO,"Oh, is that all?","['oh', 'is', 'that', 'all']"
392,LAURIE,Wait till you hear where it is.,"['wait', 'till', 'you', 'hear', 'where', 'it', 'is']"
393,JO,Where?,['where']
394,LAURIE,I saw it.,"['i', 'saw', 'it']"
395,JO,Where?,['where']
396,LAURIE,Pocket!,['pocket']
397,JO,All this time?,"['all', 'this', 'time']"
398,LAURIE,Isnt it romantic?,"['isnt', 'it', 'romantic']"
399,JO,Romantic?,['romantic']
400,LAURIE,It doesnt spoil any fun!,"['it', 'doesnt', 'spoil', 'any', 'fun']"
401,JO,Id like to see anybody try it.,"['id', 'like', 'to', 'see', 'anybody', 'try', 'it']"
402,LAURIE,Would you?,"['would', 'you']"
403,JO,You should have seen_c.,"['you', 'should', 'have', 'seen', 'c']"
404,MEG,Thank you.,"['thank', 'you']"
405,JO,"Good-bye, Mr. Brooke.","['good', 'bye', 'mr', 'brooke']"
406,MEG,"Good afternoon, Mr. Brooke.","['good', 'afternoon', 'mr', 'brooke']"
407,MEG,Good afternoon.,"['good', 'afternoon']"
408,LAURIE,Margaret.,['margaret']
409,LAURIE,Right.,['right']
410,MEG,Ive never been so embarrassed in my life.,"['ive', 'never', 'been', 'so', 'embarrassed', 'in', 'my', 'life']"
411,JO,Not until Im old and stiff and have to use a crutch.,"['not', 'until', 'im', 'old', 'and', 'stiff', 'and', 'have', 'to', 'use', 'a', 'crutch']"
412,BETH,Jo.,['jo']
413,JO,Hello Bethy.,"['hello', 'bethy']"
414,BETH,"Hello, Jo.","['hello', 'jo']"
415,JO,Hows my girl?,"['hows', 'my', 'girl']"
416,JO,What is it?,"['what', 'is', 'it']"
417,BETH,For_c For me?,"['for', 'c', 'for', 'me']"
418,AMY,Look.,['look']
419,JO,Ill read it.,"['ill', 'read', 'it']"
420,AMY,Isnt that elegant.,"['isnt', 'that', 'elegant']"
421,JO,"""Ive had many pairs of slippers in my life, but none has suited 
as well as yours.","['ive', 'had', 'many', 'pairs', 'of', 'slippers', 'in', 'my', 'life', 'but', 'none', 'has', 'suited', 'as', 'well', 'as', 'yours']"
422,AMY,Youll have to thank him.,"['youll', 'have', 'to', 'thank', 'him']"
423,BETH,Yes.,['yes']
424,HANNAH,"Well, I wish I may die.","['well', 'i', 'wish', 'i', 'may', 'die']"
425,MR. LAURENCE,Come in.,"['come', 'in']"
426,BETH,"I_c I came to thank you, sir.","['i', 'c', 'i', 'came', 'to', 'thank', 'you', 'sir']"
427,HANNAH,Miss March.,"['miss', 'march']"
428,MRS. MARCH,Its father.,"['its', 'father']"
429,AMY,Mother.,['mother']
430,MRS. MARCH,Hes in the hospital.,"['hes', 'in', 'the', 'hospital']"
431,MRS. MARCH,"Put those in the corner, dear.","['put', 'those', 'in', 'the', 'corner', 'dear']"
432,BETH,"Alright, Marmee.","['alright', 'marmee']"
433,MRS. MARCH,What on earth is keeping Joe?,"['what', 'on', 'earth', 'is', 'keeping', 'joe']"
434,MEG,"This is all packed, Marmee.","['this', 'is', 'all', 'packed', 'marmee']"
435,MRS. MARCH,"Thank you, dear.","['thank', 'you', 'dear']"
436,MR. LAURENCE,Here we are.,"['here', 'we', 'are']"
437,MRS. MARCH,Oh.,['oh']
438,MR. LAURENCE,And I hope he finds this dressing gown useful.,"['and', 'i', 'hope', 'he', 'finds', 'this', 'dressing', 'gown', 'useful']"
439,MRS. MARCH,Thank you.,"['thank', 'you']"
440,MR. LAURENCE,"Well, everythings arranged, and Brooke will go with you.","['well', 'everythings', 'arranged', 'and', 'brooke', 'will', 'go', 'with', 'you']"
441,MRS. MARCH,Theres no need.,"['theres', 'no', 'need']"
442,MR. LAURENCE,"Oh, hes all prepared.","['oh', 'hes', 'all', 'prepared']"
443,MRS. MARCH,How thoughtful of you!,"['how', 'thoughtful', 'of', 'you']"
444,MEG,"Its such a relief to know that Marmee will have someone to take 
care of her.","['its', 'such', 'a', 'relief', 'to', 'know', 'that', 'marmee', 'will', 'have', 'someone', 'to', 'take', 'care', 'of', 'her']"
445,MRS. MARCH,My kind friend.,"['my', 'kind', 'friend']"
446,MR. LAURENCE,Lauries outside with the carriage.,"['lauries', 'outside', 'with', 'the', 'carriage']"
447,HANNAH,"Here, maam.","['here', 'maam']"
448,MRS. MARCH,"Oh, I couldnt.","['oh', 'i', 'couldnt']"
449,AMY,"Oh, Marmee.","['oh', 'marmee']"
450,MRS. MARCH,Where is Jo?,"['where', 'is', 'jo']"
451,AMY,What ever took you so long?,"['what', 'ever', 'took', 'you', 'so', 'long']"
452,JO,Heres the money from Aunt March.,"['heres', 'the', 'money', 'from', 'aunt', 'march']"
453,MRS. MARCH,$25.,['25']
454,JO,"Oh, its mine, honestly.","['oh', 'its', 'mine', 'honestly']"
455,MRS. MARCH,Your hair!,"['your', 'hair']"
456,JO,"Oh well, Aunt March croaked as she always does when asked for 
ninepence.","['oh', 'well', 'aunt', 'march', 'croaked', 'as', 'she', 'always', 'does', 'when', 'asked', 'for', 'ninepence']"
457,MRS. MARCH,"Thank you, deary.","['thank', 'you', 'deary']"
458,LAURIE,"Are you ready, Marmee?","['are', 'you', 'ready', 'marmee']"
459,JO,Well.,['well']
460,AMY,"Yes, darling.","['yes', 'darling']"
461,MRS. MARCH,"Now, girls.","['now', 'girls']"
462,MRS. MARCH,Do everything that Hannah tells you.,"['do', 'everything', 'that', 'hannah', 'tells', 'you']"
463,BETH,"Oh, cant we go to the train with you, Marmee?","['oh', 'cant', 'we', 'go', 'to', 'the', 'train', 'with', 'you', 'marmee']"
464,MRS. MARCH,No.,['no']
465,MRS. MARCH,God bless us and keep us all.,"['god', 'bless', 'us', 'and', 'keep', 'us', 'all']"
466,MEG,"Jo, are you awake.","['jo', 'are', 'you', 'awake']"
467,JO,"No, Im not.","['no', 'im', 'not']"
468,MEG,"Dont cry, dear.","['dont', 'cry', 'dear']"
469,JO,Im not crying because of that.,"['im', 'not', 'crying', 'because', 'of', 'that']"
470,MEG,What is it then?,"['what', 'is', 'it', 'then']"
471,JO,My hair.,"['my', 'hair']"
472,JO,_c.,['c']
473,AMY,"Oh, it gives me the shivers.","['oh', 'it', 'gives', 'me', 'the', 'shivers']"
474,MEG,Its so exciting and so sad.,"['its', 'so', 'exciting', 'and', 'so', 'sad']"
475,LAURIE,Your sister.,"['your', 'sister']"
476,LAURIE,And I knew it all the time.,"['and', 'i', 'knew', 'it', 'all', 'the', 'time']"
477,MEG,Isnt that wonderful.,"['isnt', 'that', 'wonderful']"
478,AMY,Here it is.,"['here', 'it', 'is']"
479,BETH,Dont come near me.,"['dont', 'come', 'near', 'me']"
480,AMY,Meg.,['meg']
481,MEG,What is it?,"['what', 'is', 'it']"
482,AMY,I dont know.,"['i', 'dont', 'know']"
483,MEG,Where is she?,"['where', 'is', 'she']"
484,AMY,In Marmees cupboard.,"['in', 'marmees', 'cupboard']"
485,LAURIE,Whats wrong?,"['whats', 'wrong']"
486,JO,"Darling, what is it?","['darling', 'what', 'is', 'it']"
487,MEG,"Whats wrong, Bethy?","['whats', 'wrong', 'bethy']"
488,JO,What is it?,"['what', 'is', 'it']"
489,BETH,"Oh, Jo.","['oh', 'jo']"
490,JO,What baby?,"['what', 'baby']"
491,BETH,Mrs. Hummels.,"['mrs', 'hummels']"
492,JO,Oh my poor Beth.,"['oh', 'my', 'poor', 'beth']"
493,BETH,The doctor said it was _c.. it was scarlet fever.,"['the', 'doctor', 'said', 'it', 'was', 'c', 'it', 'was', 'scarlet', 'fever']"
494,MEG,Scarlet Fever?,"['scarlet', 'fever']"
495,AMY,Hannah!,['hannah']
496,BETH,"You dont think Ill get it, do you, Jo?","['you', 'dont', 'think', 'ill', 'get', 'it', 'do', 'you', 'jo']"
497,JO,"Oh, no, Bethy.","['oh', 'no', 'bethy']"
498,BETH,But_c.,"['but', 'c']"
499,JO,I dont remember.,"['i', 'dont', 'remember']"
500,MEG,"Jo, I think wed better get her to bed.","['jo', 'i', 'think', 'wed', 'better', 'get', 'her', 'to', 'bed']"
501,JO,Ill find out what to do.,"['ill', 'find', 'out', 'what', 'to', 'do']"
502,BETH,"Ill be alright, Meg.","['ill', 'be', 'alright', 'meg']"
503,MEG,Come on Bethy.,"['come', 'on', 'bethy']"
504,LAURIE,Of course youll be alright.,"['of', 'course', 'youll', 'be', 'alright']"
505,JO,"Oh, here it is.","['oh', 'here', 'it', 'is']"
506,HANNAH,For lands sakes!,"['for', 'lands', 'sakes']"
507,LAURIE,Alright.,['alright']
508,HANNAH,Have him come over as soon as he can.,"['have', 'him', 'come', 'over', 'as', 'soon', 'as', 'he', 'can']"
509,LAURIE,Yes.,['yes']
510,HANNAH,You stay down here Amy.,"['you', 'stay', 'down', 'here', 'amy']"
511,AMY,"No, I wont.","['no', 'i', 'wont']"
512,JO,"Oh, be quiet for once, Amy.","['oh', 'be', 'quiet', 'for', 'once', 'amy']"
513,AMY,Im not going to be sent away as though I were in the way.,"['im', 'not', 'going', 'to', 'be', 'sent', 'away', 'as', 'though', 'i', 'were', 'in', 'the', 'way']"
514,LAURIE,"Well, I advise you to go.","['well', 'i', 'advise', 'you', 'to', 'go']"
515,AMY,"Well, I dont care.","['well', 'i', 'dont', 'care']"
516,LAURIE,Oh.,['oh']
517,AMY,"Id rather get Scarlet Fever and die, than go to Aunt Marchs.","['id', 'rather', 'get', 'scarlet', 'fever', 'and', 'die', 'than', 'go', 'to', 'aunt', 'marchs']"
518,LAURIE,"Now, Amy.","['now', 'amy']"
519,AMY,Well _c..,"['well', 'c']"
520,LAURIE,Thats our girl!,"['thats', 'our', 'girl']"
521,JO,"Oh, Bethy.","['oh', 'bethy']"
522,MEG,"No, its my fault.","['no', 'its', 'my', 'fault']"
523,HANNAH,No.,['no']
524,BETH,"Oh, please dont telegraph, Jo.","['oh', 'please', 'dont', 'telegraph', 'jo']"
525,HANNAH,"The girls had the telegram all ready, but I wouldnt let them 
send it, and now the poor lady _c.","['the', 'girls', 'had', 'the', 'telegram', 'all', 'ready', 'but', 'i', 'wouldnt', 'let', 'them', 'send', 'it', 'and', 'now', 'the', 'poor', 'lady', 'c']"
526,JO,"Oh, Mother!","['oh', 'mother']"
527,LAURIE,"Oh, Jo, is it that bad?","['oh', 'jo', 'is', 'it', 'that', 'bad']"
528,JO,She doesnt know me.,"['she', 'doesnt', 'know', 'me']"
529,LAURIE,Im here.,"['im', 'here']"
530,JO,Were sending for Marmee.,"['were', 'sending', 'for', 'marmee']"
531,LAURIE,She will be.,"['she', 'will', 'be']"
532,JO,You?,['you']
533,LAURIE,"Shell be here on the two oclock train tonight, and Im going to 
meet her.","['shell', 'be', 'here', 'on', 'the', 'two', 'oclock', 'train', 'tonight', 'and', 'im', 'going', 'to', 'meet', 'her']"
534,JO,"Oh, Laurie.","['oh', 'laurie']"
535,LAURIE,Fly at me again.,"['fly', 'at', 'me', 'again']"
536,JO,"Laurie, youre so silly.","['laurie', 'youre', 'so', 'silly']"
537,LAURIE,I better go.,"['i', 'better', 'go']"
538,JO,"Oh, bless you, Laurie.","['oh', 'bless', 'you', 'laurie']"
539,JO,"If you really want Bethy, please wait until Marmee comes home.","['if', 'you', 'really', 'want', 'bethy', 'please', 'wait', 'until', 'marmee', 'comes', 'home']"
540,MEG,"If God spares Bethy, Ill love him, and serve him all my life.","['if', 'god', 'spares', 'bethy', 'ill', 'love', 'him', 'and', 'serve', 'him', 'all', 'my', 'life']"
541,JO,"If life is as hard as this, I dont see how we ever should get 
through it.","['if', 'life', 'is', 'as', 'hard', 'as', 'this', 'i', 'dont', 'see', 'how', 'we', 'ever', 'should', 'get', 'through', 'it']"
542,MEG,Hannah!,['hannah']
543,HANNAH,What is it?,"['what', 'is', 'it']"
544,JO,"Good-bye, my Bethy.","['good', 'bye', 'my', 'bethy']"
545,HANNAH,Lord be praised.,"['lord', 'be', 'praised']"
546,JO,Marmees here.,"['marmees', 'here']"
547,AMY,Isnt it wonderful to have Bethy downstairs at last.,"['isnt', 'it', 'wonderful', 'to', 'have', 'bethy', 'downstairs', 'at', 'last']"
548,JO,And see the lovely flowers that Mr. Laurence sent you.,"['and', 'see', 'the', 'lovely', 'flowers', 'that', 'mr', 'laurence', 'sent', 'you']"
549,BETH,Oh.,['oh']
550,LAURIE,Begging you pardon.,"['begging', 'you', 'pardon']"
551,LAURIE,Waitll she sees what I brought for her.,"['waitll', 'she', 'sees', 'what', 'i', 'brought', 'for', 'her']"
552,MEG,Bethy.,['bethy']
553,HANNAH,Land sakes!,"['land', 'sakes']"
554,MRS. MARCH,"Oh, my dear.","['oh', 'my', 'dear']"
555,BETH,Father.,['father']
556,MRS. MARCH,"Oh, my darling.","['oh', 'my', 'darling']"
557,AMY,She hasnt walked since she was sick.,"['she', 'hasnt', 'walked', 'since', 'she', 'was', 'sick']"
558,JO,Are you expecting someone?,"['are', 'you', 'expecting', 'someone']"
559,MEG,"Why_c Why, no.","['why', 'c', 'why', 'no']"
560,JO,Meg.,['meg']
561,MEG,I dont intend to go and marry any man.,"['i', 'dont', 'intend', 'to', 'go', 'and', 'marry', 'any', 'man']"
562,JO,"Oh, Meg.","['oh', 'meg']"
563,MEG,Jo.,['jo']
564,JO,And then thingsll be as they used to be.,"['and', 'then', 'thingsll', 'be', 'as', 'they', 'used', 'to', 'be']"
565,JO,Ill go.,"['ill', 'go']"
566,MEG,"Why, Mr. Brooke.","['why', 'mr', 'brooke']"
567,MEG,Wont you come in?,"['wont', 'you', 'come', 'in']"
568,MEG,Why_c hes here in the rack.,"['why', 'c', 'hes', 'here', 'in', 'the', 'rack']"
569,MEG,Why _c.,"['why', 'c']"
570,MEG,"Oh, no.","['oh', 'no']"
571,MEG,"Oh, thank you, John.","['oh', 'thank', 'you', 'john']"
572,MEG,Im afraid I cant.,"['im', 'afraid', 'i', 'cant']"
573,AUNT MARCH,Huh?,['huh']
574,MEG,Mr. Brooke.,"['mr', 'brooke']"
575,AUNT MARCH,The Laurences boys tutor.,"['the', 'laurences', 'boys', 'tutor']"
576,MEG,Shh.,['shh']
577,AUNT MARCH,Oh?,['oh']
578,MEG,Shh.,['shh']
579,AUNT MARCH,I wont stop!,"['i', 'wont', 'stop']"
580,MEG,Oh.,['oh']
581,AUNT MARCH,Oh?,['oh']
582,MEG,Aunt March!,"['aunt', 'march']"
583,AUNT MARCH,"Hoity, toity!","['hoity', 'toity']"
584,MEG,John?,['john']
585,MEG,"Yes, John.","['yes', 'john']"
586,MEG,The first kiss for Marmee.,"['the', 'first', 'kiss', 'for', 'marmee']"
587,AUNT MARCH,"Well, John.","['well', 'john']"
588,LAURIE,"Good-bye, Amy.","['good', 'bye', 'amy']"
589,JO,I know you will.,"['i', 'know', 'you', 'will']"
590,LAURIE,Jo.,['jo']
591,JO,"Oh, no.","['oh', 'no']"
592,LAURIE,I will.,"['i', 'will']"
593,JO,I know.,"['i', 'know']"
594,LAURIE,Then wont you listen.,"['then', 'wont', 'you', 'listen']"
595,JO,"As though Id change you, Laurie.","['as', 'though', 'id', 'change', 'you', 'laurie']"
596,LAURIE,"Oh, no, we shouldnt.","['oh', 'no', 'we', 'shouldnt']"
597,JO,"Oh, yes.","['oh', 'yes']"
598,LAURIE,Marry?,['marry']
599,JO,I cant.,"['i', 'cant']"
600,LAURIE,"Really truly, Jo?","['really', 'truly', 'jo']"
601,JO,"Really truly, dear.","['really', 'truly', 'dear']"
602,LAURIE,"Oh, yes.","['oh', 'yes']"
603,JO,"Laurie, where are you going?","['laurie', 'where', 'are', 'you', 'going']"
604,LAURIE,"To the devil, and I hope youll be sorry.","['to', 'the', 'devil', 'and', 'i', 'hope', 'youll', 'be', 'sorry']"
605,JO,"Laurie, please _c.","['laurie', 'please', 'c']"
606,MRS. MARCH,"Jo, why arent you in bed?","['jo', 'why', 'arent', 'you', 'in', 'bed']"
607,JO,Mother.,['mother']
608,MRS. MARCH,Where would you hop?,"['where', 'would', 'you', 'hop']"
609,JO,To New York.,"['to', 'new', 'york']"
610,MRS. MARCH,I dont doubt it.,"['i', 'dont', 'doubt', 'it']"
611,JO,"Oh, Marmee.","['oh', 'marmee']"
612,MRS. MARCH,I see.,"['i', 'see']"
613,JO,"I love him dearly, as I always have.","['i', 'love', 'him', 'dearly', 'as', 'i', 'always', 'have']"
614,MRS. MARCH,"Youre right, Jo.","['youre', 'right', 'jo']"
615,JO,"Good night, Marmee.","['good', 'night', 'marmee']"
616,JO,Thats good.,"['thats', 'good']"
617,JO,How do you do?,"['how', 'do', 'you', 'do']"
618,JO,"Oh, no.","['oh', 'no']"
619,JO,What does he do?,"['what', 'does', 'he', 'do']"
620,JO,Please dont stop.,"['please', 'dont', 'stop']"
621,JO,My senses fail.,"['my', 'senses', 'fail']"
622,JO,"Oh, if only I could write something like that.","['oh', 'if', 'only', 'i', 'could', 'write', 'something', 'like', 'that']"
623,JO,"Yes, thats my longing.","['yes', 'thats', 'my', 'longing']"
624,JO,"Oh, would you?","['oh', 'would', 'you']"
625,JO,"Oh, what shall I ask for at the music shop?","['oh', 'what', 'shall', 'i', 'ask', 'for', 'at', 'the', 'music', 'shop']"
626,JO,"""Nur wer die_c""

PROFESSOR
""Sehnsucht""

JO
""Sehnsucht""

PROFESSOR
Haha.","['nur', 'wer', 'die', 'c', 'professor', 'sehnsucht', 'jo', 'sehnsucht', 'professor', 'haha']"
627,JO,"Oh, let me sew that button for you, before you lose it.","['oh', 'let', 'me', 'sew', 'that', 'button', 'for', 'you', 'before', 'you', 'lose', 'it']"
628,JO,"Not very well, evidently.","['not', 'very', 'well', 'evidently']"
629,JO,Who was Goldilocks?,"['who', 'was', 'goldilocks']"
630,JO,"And she_c

TINA
And she_c

JO
_cwent into their house.","['and', 'she', 'c', 'tina', 'and', 'she', 'c', 'jo', 'cwent', 'into', 'their', 'house']"
631,JO,_cand saw three chairs.,"['cand', 'saw', 'three', 'chairs']"
632,JO,_cthree chairs.,"['cthree', 'chairs']"
633,JO,Uh huh.,"['uh', 'huh']"
634,JO,Who is it?,"['who', 'is', 'it']"
635,JO,"All right, children, thatll be all for today.","['all', 'right', 'children', 'thatll', 'be', 'all', 'for', 'today']"
636,JO,All right.,"['all', 'right']"
637,JO,"Yes, if you want to.","['yes', 'if', 'you', 'want', 'to']"
638,JO,Then its true.,"['then', 'its', 'true']"
639,AMY,Darling.,['darling']
640,JO,"Oh, ma_c

AUNT MARCH
Now, Josephine.","['oh', 'ma', 'c', 'aunt', 'march', 'now', 'josephine']"
641,AUNT MARCH,"Now, Josephine.","['now', 'josephine']"
642,JO,"Oh, Im so glad to see you.","['oh', 'im', 'so', 'glad', 'to', 'see', 'you']"
643,AUNT MARCH,Sit down here.,"['sit', 'down', 'here']"
644,JO,Tell me everything.,"['tell', 'me', 'everything']"
645,AUNT MARCH,We cant stop now.,"['we', 'cant', 'stop', 'now']"
646,JO,"Shipping office, Aunt March?","['shipping', 'office', 'aunt', 'march']"
647,AUNT MARCH,Taking Amy with me.,"['taking', 'amy', 'with', 'me']"
648,JO,Next time?,"['next', 'time']"
649,AMY,Shes better again but she isnt rosy as she used to be.,"['shes', 'better', 'again', 'but', 'she', 'isnt', 'rosy', 'as', 'she', 'used', 'to', 'be']"
650,JO,"Oh, my poor Beth.","['oh', 'my', 'poor', 'beth']"
651,AMY,Why didnt you see them when they were here?,"['why', 'didnt', 'you', 'see', 'them', 'when', 'they', 'were', 'here']"
652,JO,Laurie in New York?,"['laurie', 'in', 'new', 'york']"
653,AUNT MARCH,Im sure you cant blame him.,"['im', 'sure', 'you', 'cant', 'blame', 'him']"
654,AMY,"Oh, Jo, dear.","['oh', 'jo', 'dear']"
655,JO,"Oh, no, darling.","['oh', 'no', 'darling']"
656,AUNT MARCH,"Amy, you seem to forget waiting cabs cost money.","['amy', 'you', 'seem', 'to', 'forget', 'waiting', 'cabs', 'cost', 'money']"
657,JO,"Good bye, darling.","['good', 'bye', 'darling']"
658,JO,"Yes, Professor Bhaer.","['yes', 'professor', 'bhaer']"
659,JO,"Ah, yes.","['ah', 'yes']"
660,JO,"(cries)

PROFESSOR
What?","['cries', 'professor', 'what']"
661,JO,"No, it isnt that.","['no', 'it', 'isnt', 'that']"
662,JO,"Oh, no, no.","['oh', 'no', 'no']"
663,JO,Yes.,['yes']
664,JO,"Oh, no, no, no.","['oh', 'no', 'no', 'no']"
665,JO,"Oh, no.","['oh', 'no']"
666,JO,"Oh, no, no.","['oh', 'no', 'no']"
667,JO,No.,['no']
668,JO,"Oh, yes.","['oh', 'yes']"
669,JO,Ah.,['ah']
670,JO,"Oh, peppermint.","['oh', 'peppermint']"
671,JO,"Oh, thank you.","['oh', 'thank', 'you']"
672,JO,How could I be?,"['how', 'could', 'i', 'be']"
673,JO,Ive never had so much fun.,"['ive', 'never', 'had', 'so', 'much', 'fun']"
674,JO,She was divine.,"['she', 'was', 'divine']"
675,JO,I know but to sing like that.,"['i', 'know', 'but', 'to', 'sing', 'like', 'that']"
676,JO,"Id say, ""Look at me, world.","['id', 'say', 'look', 'at', 'me', 'world']"
677,JO,"But you, youre responsible for that.","['but', 'you', 'youre', 'responsible', 'for', 'that']"
678,JO,Wonderful.,['wonderful']
679,JO,Yes.,['yes']
680,JO,Only through Amy.,"['only', 'through', 'amy']"
681,JO,"Why, yes.","['why', 'yes']"
682,JO,Yes.,['yes']
683,JO,Its Beth.,"['its', 'beth']"
684,JO,"No, theres, theres nothing.","['no', 'theres', 'theres', 'nothing']"
